
0xF77F  0xFFFF  0xF7FD  0xB6FF  0xFFDF  0xF7FD  0xBBFF  0xFFDD  0xBFFF  0xDFF7  0xBFFF  0xFFDF  0xFFFD  0xDFFF  0xDEDE  
0xF7FF  0xFFBF  0xF71F  0x9FFF  0xFDDF  0xFEFF  0xFFEE  0x7FBE  0xFF7B  0xFA9F  0xFFFE  0xBBF5  0xFFDF  0xFFFF  0xAF5F  
0xDFF7  0xFDFF  0xE9FF  0x7FF7  0x7FDF  0xFFFF  0x7EFE  0xFFF7  0xEFFD  0xDFFF  0xFFF7  0xFBFB  0xBFFF  0xF7F7  0xFFFF  
0xBFFF  0xFFFF  0xEFF7  0xFFFF  0xEFFD  0xEFFF  0xDDFF  0xFFF7  0xFFDF  0xD3DF  0xBFFF  0xFFF9  0xD77E  0xEF7E  0xF7FF  
0xF5FF  0xB7FD  0x7FFF  0x7FFF  0xFFFD  0xFFFF  0xBA7F  0xFFFF  0xFDF7  0xF7FF  0xFFFF  0xFFFF  0xFFFF  0xFF7F  0x7FFE  
0xFFFF  0xFDFF  0x4FFF  0xDBFF  0xFFFF  0xFFFF  0xEFFF  0xFFFB  0xFFDF  0xFFED  0xED7F  0xFFFB  0xFFDE  0xEFFE  0xEFDF  
0xFFFB  0xF7FF  0xF7FF  0xBBFF  0xFDF6  0xFFFF  0x7B7C  0xFEB7  0xD7EF  0xFFBF  0xFFBE  0xFFFF  0xC7FF  0xFFFF  0xFFFF  
0xFDFF  0x7FDC  0xEF7F  0xBFFD  0xFFFF  0xFF73  0xBFFF  0xFCF7  0xFFBF  0xFEF7  0xBFFF  0xF9DF  0xFF7F  0xFFDF  0xFFFF  
0xFFDF  0xFFFF  0xFDCE  0xBFFF  0xD3FF  0xDFFC  0xFFD7  0xFFDF  0xFFFF  0xBBEF  0x7EFF  0xBFEF  0xFFE3  0x7FFB  0xDFBF  
0xFBFF  0x7BDF  0x7FF3  0xFBFF  0xFFFF  0xEFFF  0xFFFF  0xFFBF  0xEDF7  0xBFFF  0xF7FF  0x7F7F  0xFBF7  0xFBFF  0xDFDF  
0xEFED  0xEF7F  0xF7FF  0xF9F9  0xFFBF  0xFF77  0xFBFD  0xFFFD  0xFF3F  0xFFBF  0xE7DF  0xF5DF  0xF1FF  0x7BAF  0xFFFF  
0xDFDB  0xFFFF  0xFDFF  0xFFAF  0xFF7B  0xFDF7  0xFFFF  0xF6FF  0xBFFF  0xFFBF  0xEF9F  0xE7FF  0xFFF7  0xEFDF  0xFDFF  
0xDEFF  0xFFDB  0xFF7F  0xDDFB  0xDFF7  0xFFFD  0xFFFF  0xFF5F  0xDFDF  0xDB7F  0xDFFB  0xFAFF  0xCFFF  0xFF7F  0xFFBF  
0xFFEF  0xF77F  0xDF7F  0x7B7F  0xF7FF  0xFFBE  0xFFF7  0xFDFF  0xBEFD  0xFFFF  0xFFFF  0xFFFF  0xFFFF  0xF7FF  0xDFEF  
0xFEDF  0xFFDF  0xFFDF  0xFFFF  0xE7FF  0x5FFF  0xF7DE  0xFB7E  0xDCFF  0xF7FF  0xF5FF  0xFFFF  0xFF7F  0xEFFF  0xFEFF  
0xEFFF  0xFDFD  0x7FFF  0xFDFE  0xFEFF  0xFDFF  0xF7FF  0x6BBF  0xEFBF  0xFFFF  0xDFFF  0xFFDF  0xBFFF  0xFDFF  0xFFFA  
0xFFEF  0xFFFD  0xFFFB  0x9FFB  0xBFFF  0x7FBF  0x7FFF  0xFBBE  0xEFDB  0xFF9F  0xFFFD  0xFFFD  0xEFFF  0xF7FD  0xBFFF  
0xFEFD  0xFFFF  0xDFFF  0xEFDE  0xFFFF  0x7FF7  0xFFFF  0x7FBF  0xF7FF  0xDFFD  0xFF5F  0xFFFF  0xFFFF  0x7EFF  0xFFBF  
0xFFFF  0xFFFD  0xFBF7  0xFFFF  0xFFFE  0xFFFF  0xDEFD  0xFFFF  0xFFFF  0xD7FF  0xFEFF  0xFF7F  0xFFFF  0xFFFD  0xFFFF  
0x7FFE  0xDFFD  0xF7D7  0xFF7F  0xFFFF  0xFFFF  0xFCFF  0xFFCF  0xFEFF  0xFBFF  0xFFFF  0xDFBF  0xFFFF  0xFFBF  0x3DEF  
0xFFFF  0xFFFF  0xFFFD  0xFEF7  0xFEF7  0xF7FD  0xDFFF  0xFFFE  0xFFFF  0xFFFF  0xFFFF  0xFFEF  0xFFFF  0xFFFF  0xFFFF  
0xF7EE  0xFFFF  0xEFDB  0xFFFB  0xBFF5  0xFFFB  0x7DFF  0xFFFE  0xB7EF  0xBFDF  0xF1FF  0xFFFF  0xEFBF  0xFFFF  0xFFFD  
0xFFFB  0xFFDD  0xCEFF  0x7EFF  0xFFFF  0xFEFF  0xAFFF  0xFFFE  0xFFFF  0xFFF7  0xEFFF  0xFFFF  0xFEFE  0xFFFF  0xFFFF  
0xFFFF  0xEEFD  0x7FDF  0x7FFF  0xFFDF  0xFBFF  0xFAFF  0xFFFF  0xFFFB  0xDFFF  0xFEFB  0xFFBF  0xF3BF  0xFFFF  0xBFBF  
